"wage","gender","age","ageclass","ageclass2","emptype","hours","macroarea","region","citizenship","education"
1280,"Male",38,"35-39","35-44","Male",40,"center","Lazio","italian","middle school"
1440,"Female",52,"50-54","45-54","Female",18,"nord","Valle d'Aosta","italian","college or more"
1290,"Female",30,"30-34","25-34","Female",35,"south","Calabria","italian","college or more"
1370,"Male",39,"35-39","35-44","Male",37,"nord","Lombardia","italian","college or more"
500,"Female",24,"20-24","15-24","Female",24,"center","Umbria","italian","high school"
1160,"Female",45,"45-49","45-54","Female",24,"nord","Veneto","italian","college or more"
1200,"Male",20,"20-24","15-24","Male",40,"nord","Veneto","italian","middle school"
1600,"Male",46,"45-49","45-54","Male",40,"nord","Emilia Romagna","italian","high school"
1400,"Male",56,"55-59","55-64","Male",40,"center","Toscana","italian","middle school"
1410,"Female",46,"45-49","45-54","Female",60,"center","Toscana","non-ue","elementary school"
560,"Male",23,"20-24","15-24","Male",30,"nord","Piemonte","italian","professional high school"
1300,"Male",58,"55-59","55-64","Male",40,"nord","Friuli Venezia Giulia","italian","middle school"
1500,"Female",31,"30-34","25-34","Female",40,"center","Marche","italian","high school"
1000,"Female",35,"35-39","35-44","Female",32,"south","Calabria","italian","high school"
1450,"Male",49,"45-49","45-54","Male",40,"center","Umbria","italian","middle school"
1800,"Male",27,"25-29","25-34","Male",40,"nord","Trentino alto Adige","italian","high school"
1160,"Female",47,"45-49","45-54","Female",40,"nord","Veneto","italian","high school"
1160,"Male",50,"50-54","45-54","Male",40,"south","Campania","italian","elementary school"
2000,"Male",56,"55-59","55-64","Male",40,"nord","Piemonte","italian","middle school"
1300,"Female",53,"50-54","45-54","Female",40,"nord","Piemonte","italian","college or more"
1650,"Male",49,"45-49","45-54","Male",39,"nord","Emilia Romagna","italian","high school"
1250,"Female",53,"50-54","45-54","Female",39,"nord","Piemonte","italian","high school"
890,"Female",40,"40-44","35-44","Female",22,"center","Lazio","italian","high school"
1200,"Female",34,"30-34","25-34","Female",30,"nord","Lombardia","italian","college or more"
3000,"Male",44,"40-44","35-44","Male",50,"nord","Piemonte","italian","college or more"
1600,"Male",61,"60-64","55-64","Male",60,"nord","Liguria","italian","high school"
1200,"Male",36,"35-39","35-44","Male",40,"nord","Emilia Romagna","ue","middle school"
1480,"Female",27,"25-29","25-34","Female",36,"nord","Trentino alto Adige","italian","college or more"
1400,"Female",55,"55-59","55-64","Female",36,"south","Sicilia","italian","high school"
2500,"Male",41,"40-44","35-44","Male",45,"center","Umbria","italian","high school"
1300,"Female",53,"50-54","45-54","Female",40,"center","Marche","non-ue","middle school"
400,"Female",52,"50-54","45-54","Female",36,"south","Puglia","italian","middle school"
1200,"Female",39,"35-39","35-44","Female",40,"center","Marche","italian","high school"
800,"Male",26,"25-29","25-34","Male",38,"nord","Piemonte","italian","college or more"
1540,"Male",27,"25-29","25-34","Male",40,"nord","Lombardia","italian","high school"
1190,"Male",21,"20-24","15-24","Male",40,"nord","Piemonte","italian","high school"
1650,"Male",41,"40-44","35-44","Male",40,"nord","Piemonte","italian","high school"
1210,"Male",32,"30-34","25-34","Male",24,"south","Sardegna","italian","college or more"
1650,"Female",57,"55-59","55-64","Female",40,"nord","Trentino alto Adige","ue","middle school"
1330,"Female",54,"50-54","45-54","Female",40,"nord","Liguria","italian","middle school"
1650,"Male",59,"55-59","55-64","Male",36,"south","Basilicata","italian","college or more"
1590,"Female",63,"60-64","55-64","Female",36,"center","Lazio","italian","high school"
1900,"Male",54,"50-54","45-54","Male",36,"center","Umbria","italian","high school"
1350,"Female",47,"45-49","45-54","Female",40,"center","Umbria","italian","middle school"
1400,"Female",53,"50-54","45-54","Female",30,"nord","Piemonte","italian","professional high school"
1620,"Male",35,"35-39","35-44","Male",40,"center","Toscana","italian","middle school"
1400,"Female",32,"30-34","25-34","Female",18,"south","Puglia","italian","college or more"
3000,"Male",48,"45-49","45-54","Male",45,"nord","Emilia Romagna","italian","high school"
1400,"Male",56,"55-59","55-64","Male",40,"nord","Emilia Romagna","italian","middle school"
1220,"Male",57,"55-59","55-64","Male",40,"nord","Trentino alto Adige","non-ue","middle school"
800,"Female",19,"15-19","15-24","Female",36,"center","Lazio","italian","middle school"
1670,"Male",44,"40-44","35-44","Male",35,"nord","Trentino alto Adige","italian","middle school"
1900,"Male",58,"55-59","55-64","Male",40,"south","Puglia","italian","middle school"
1200,"Female",38,"35-39","35-44","Female",40,"south","Sardegna","italian","middle school"
1380,"Male",30,"30-34","25-34","Male",33,"nord","Friuli Venezia Giulia","italian","college or more"
1450,"Male",49,"45-49","45-54","Male",40,"nord","Lombardia","italian","middle school"
1130,"Female",33,"30-34","25-34","Female",40,"nord","Trentino alto Adige","ue","middle school"
2310,"Male",55,"55-59","55-64","Male",38,"south","Abruzzo","italian","college or more"
750,"Female",35,"35-39","35-44","Female",28,"center","Toscana","italian","middle school"
3000,"Female",52,"50-54","45-54","Female",31,"nord","Lombardia","italian","college or more"
480,"Female",75,"75 e +","75 e +","Female",40,"nord","Friuli Venezia Giulia","non-ue","middle school"
1200,"Female",63,"60-64","55-64","Female",40,"nord","Trentino alto Adige","italian","middle school"
1470,"Male",56,"55-59","55-64","Male",36,"south","Basilicata","italian","middle school"
1400,"Male",34,"30-34","25-34","Male",40,"nord","Emilia Romagna","italian","high school"
1200,"Female",33,"30-34","25-34","Female",36,"south","Molise","italian","college or more"
1500,"Female",50,"50-54","45-54","Female",36,"nord","Emilia Romagna","italian","high school"
400,"Male",25,"25-29","25-34","Male",24,"south","Calabria","italian","high school"
340,"Female",59,"55-59","55-64","Female",26,"nord","Veneto","italian","professional high school"
1200,"Female",57,"55-59","55-64","Female",40,"south","Sardegna","italian","middle school"
2000,"Female",55,"55-59","55-64","Female",36,"nord","Lombardia","italian","college or more"
1500,"Female",56,"55-59","55-64","Female",36,"nord","Veneto","italian","professional high school"
950,"Female",46,"45-49","45-54","Female",35,"center","Umbria","non-ue","middle school"
2000,"Male",52,"50-54","45-54","Male",40,"nord","Veneto","italian","high school"
1270,"Female",29,"25-29","25-34","Female",40,"center","Umbria","non-ue","college or more"
1000,"Female",58,"55-59","55-64","Female",40,"south","Sicilia","italian","elementary school"
1720,"Male",43,"40-44","35-44","Male",40,"center","Toscana","italian","high school"
500,"Female",26,"25-29","25-34","Female",40,"nord","Emilia Romagna","italian","high school"
1510,"Male",53,"50-54","45-54","Male",40,"nord","Piemonte","italian","high school"
1500,"Male",50,"50-54","45-54","Male",40,"nord","Lombardia","italian","high school"
1350,"Female",35,"35-39","35-44","Female",40,"nord","Trentino alto Adige","italian","professional high school"
1300,"Male",37,"35-39","35-44","Male",40,"nord","Piemonte","italian","middle school"
1510,"Female",34,"30-34","25-34","Female",40,"nord","Trentino alto Adige","italian","professional high school"
2000,"Female",46,"45-49","45-54","Female",40,"center","Toscana","italian","college or more"
500,"Female",27,"25-29","25-34","Female",24,"nord","Trentino alto Adige","italian","college or more"
280,"Female",45,"45-49","45-54","Female",7,"center","Lazio","ue","middle school"
500,"Male",29,"25-29","25-34","Male",25,"center","Lazio","italian","middle school"
900,"Male",35,"35-39","35-44","Male",25,"south","Campania","italian","middle school"
310,"Female",54,"50-54","45-54","Female",20,"nord","Liguria","italian","middle school"
1260,"Female",40,"40-44","35-44","Female",40,"nord","Lombardia","italian","college or more"
900,"Male",37,"35-39","35-44","Male",50,"center","Lazio","non-ue","elementary school"
1000,"Female",20,"20-24","15-24","Female",40,"nord","Friuli Venezia Giulia","italian","middle school"
1840,"Female",55,"55-59","55-64","Female",40,"nord","Piemonte","italian","college or more"
900,"Female",33,"30-34","25-34","Female",30,"south","Sardegna","italian","high school"
1700,"Female",60,"60-64","55-64","Female",36,"center","Marche","italian","college or more"
1200,"Male",27,"25-29","25-34","Male",40,"center","Marche","italian","college or more"
2100,"Male",35,"35-39","35-44","Male",37,"south","Campania","italian","high school"
1300,"Male",28,"25-29","25-34","Male",40,"nord","Friuli Venezia Giulia","italian","middle school"
1210,"Male",61,"60-64","55-64","Male",36,"south","Calabria","italian","professional high school"
1200,"Male",57,"55-59","55-64","Male",40,"center","Umbria","italian","high school"
2000,"Male",55,"55-59","55-64","Male",48,"nord","Emilia Romagna","italian","middle school"
1200,"Female",24,"20-24","15-24","Female",38,"nord","Lombardia","italian","college or more"
400,"Female",30,"30-34","25-34","Female",35,"south","Puglia","italian","college or more"
1500,"Female",49,"45-49","45-54","Female",36,"south","Campania","italian","college or more"
1550,"Male",56,"55-59","55-64","Male",36,"south","Molise","italian","high school"
2400,"Male",32,"30-34","25-34","Male",40,"center","Marche","italian","college or more"
1200,"Female",56,"55-59","55-64","Female",36,"south","Sardegna","italian","middle school"
2000,"Female",37,"35-39","35-44","Female",40,"south","Puglia","italian","college or more"
1600,"Male",63,"60-64","55-64","Male",40,"center","Marche","italian","middle school"
1600,"Male",59,"55-59","55-64","Male",40,"nord","Trentino alto Adige","italian","middle school"
1080,"Female",32,"30-34","25-34","Female",32,"nord","Veneto","italian","middle school"
2100,"Male",53,"50-54","45-54","Male",36,"nord","Friuli Venezia Giulia","italian","middle school"
1400,"Male",49,"45-49","45-54","Male",40,"center","Marche","italian","professional high school"
1700,"Female",39,"35-39","35-44","Female",31,"south","Campania","italian","college or more"
1450,"Female",35,"35-39","35-44","Female",60,"center","Marche","non-ue","middle school"
1200,"Female",45,"45-49","45-54","Female",40,"nord","Piemonte","italian","high school"
1200,"Male",31,"30-34","25-34","Male",40,"south","Campania","italian","high school"
1200,"Female",48,"45-49","45-54","Female",40,"nord","Emilia Romagna","italian","high school"
1080,"Female",43,"40-44","35-44","Female",40,"nord","Lombardia","italian","high school"
1090,"Female",54,"50-54","45-54","Female",20,"nord","Friuli Venezia Giulia","italian","high school"
1450,"Male",32,"30-34","25-34","Male",40,"nord","Veneto","non-ue","middle school"
1000,"Female",40,"40-44","35-44","Female",28,"nord","Piemonte","italian","professional high school"
1430,"Female",49,"45-49","45-54","Female",36,"center","Lazio","italian","college or more"
680,"Male",29,"25-29","25-34","Male",40,"south","Basilicata","italian","high school"
1670,"Female",58,"55-59","55-64","Female",40,"nord","Lombardia","italian","high school"
1100,"Male",45,"45-49","45-54","Male",40,"nord","Liguria","italian","high school"
1360,"Female",22,"20-24","15-24","Female",40,"nord","Lombardia","italian","high school"
1600,"Female",57,"55-59","55-64","Female",24,"south","Calabria","italian","high school"
2700,"Male",37,"35-39","35-44","Male",38,"nord","Lombardia","italian","college or more"
1070,"Male",31,"30-34","25-34","Male",40,"center","Marche","italian","high school"
1660,"Female",52,"50-54","45-54","Female",21,"south","Puglia","italian","college or more"
900,"Female",48,"45-49","45-54","Female",40,"center","Lazio","italian","middle school"
1630,"Male",61,"60-64","55-64","Male",39,"south","Basilicata","italian","high school"
500,"Male",34,"30-34","25-34","Male",40,"south","Basilicata","italian","middle school"
1500,"Female",47,"45-49","45-54","Female",40,"nord","Emilia Romagna","italian","college or more"
880,"Female",23,"20-24","15-24","Female",36,"nord","Veneto","italian","high school"
1500,"Male",38,"35-39","35-44","Male",40,"nord","Piemonte","non-ue","middle school"
1200,"Female",24,"20-24","15-24","Female",40,"center","Toscana","italian","high school"
1600,"Male",43,"40-44","35-44","Male",40,"center","Toscana","non-ue","high school"
1400,"Male",43,"40-44","35-44","Male",36,"nord","Friuli Venezia Giulia","italian","college or more"
310,"Male",39,"35-39","35-44","Male",10,"center","Toscana","italian","high school"
1500,"Male",53,"50-54","45-54","Male",40,"center","Toscana","non-ue","high school"
1800,"Male",43,"40-44","35-44","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
1900,"Male",42,"40-44","35-44","Male",40,"center","Umbria","italian","high school"
1670,"Male",49,"45-49","45-54","Male",40,"nord","Veneto","italian","middle school"
1400,"Female",48,"45-49","45-54","Female",36,"nord","Lombardia","italian","high school"
900,"Female",35,"35-39","35-44","Female",24,"nord","Piemonte","italian","middle school"
1000,"Female",47,"45-49","45-54","Female",40,"nord","Emilia Romagna","non-ue","elementary school"
750,"Female",34,"30-34","25-34","Female",25,"nord","Friuli Venezia Giulia","italian","professional high school"
900,"Male",28,"25-29","25-34","Male",30,"nord","Trentino alto Adige","italian","college or more"
1800,"Male",53,"50-54","45-54","Male",36,"nord","Veneto","italian","college or more"
2800,"Female",39,"35-39","35-44","Female",40,"nord","Piemonte","italian","college or more"
2100,"Male",43,"40-44","35-44","Male",36,"center","Umbria","italian","college or more"
950,"Male",72,"70-74","65-74","Male",40,"nord","Veneto","italian","middle school"
1000,"Male",26,"25-29","25-34","Male",40,"south","Sicilia","italian","middle school"
1800,"Female",45,"45-49","45-54","Female",36,"nord","Trentino alto Adige","italian","professional high school"
1670,"Female",62,"60-64","55-64","Female",37,"nord","Trentino alto Adige","italian","high school"
1700,"Female",62,"60-64","55-64","Female",36,"nord","Trentino alto Adige","italian","high school"
1400,"Male",51,"50-54","45-54","Male",40,"nord","Veneto","italian","professional high school"
1100,"Female",57,"55-59","55-64","Female",24,"nord","Piemonte","italian","professional high school"
700,"Female",49,"45-49","45-54","Female",25,"center","Umbria","non-ue","middle school"
1350,"Male",58,"55-59","55-64","Male",40,"nord","Lombardia","italian","middle school"
1100,"Female",28,"25-29","25-34","Female",40,"center","Lazio","italian","high school"
1160,"Male",47,"45-49","45-54","Male",20,"nord","Lombardia","italian","high school"
1260,"Male",45,"45-49","45-54","Male",40,"south","Molise","italian","high school"
1300,"Female",57,"55-59","55-64","Female",30,"nord","Liguria","italian","college or more"
1850,"Male",53,"50-54","45-54","Male",36,"nord","Lombardia","italian","middle school"
800,"Female",57,"55-59","55-64","Female",28,"south","Sardegna","italian","high school"
1500,"Male",61,"60-64","55-64","Male",36,"south","Puglia","italian","high school"
1430,"Male",47,"45-49","45-54","Male",40,"nord","Lombardia","italian","middle school"
1400,"Male",45,"45-49","45-54","Male",36,"nord","Liguria","italian","high school"
400,"Female",25,"25-29","25-34","Female",40,"south","Puglia","italian","middle school"
250,"Female",19,"15-19","15-24","Female",15,"south","Campania","italian","high school"
1540,"Male",54,"50-54","45-54","Male",40,"nord","Lombardia","non-ue","middle school"
1300,"Male",44,"40-44","35-44","Male",40,"south","Sicilia","italian","middle school"
1250,"Male",53,"50-54","45-54","Male",44,"center","Umbria","italian","middle school"
1600,"Female",39,"35-39","35-44","Female",40,"nord","Piemonte","italian","middle school"
1800,"Male",31,"30-34","25-34","Male",40,"nord","Emilia Romagna","italian","middle school"
3000,"Female",60,"60-64","55-64","Female",50,"nord","Emilia Romagna","italian","high school"
2000,"Male",29,"25-29","25-34","Male",45,"nord","Lombardia","italian","high school"
1400,"Female",53,"50-54","45-54","Female",36,"south","Sicilia","italian","college or more"
1430,"Male",37,"35-39","35-44","Male",40,"nord","Trentino alto Adige","italian","middle school"
2500,"Male",46,"45-49","45-54","Male",45,"nord","Lombardia","italian","college or more"
1110,"Male",50,"50-54","45-54","Male",40,"nord","Lombardia","italian","high school"
1500,"Female",37,"35-39","35-44","Female",40,"nord","Lombardia","italian","high school"
1400,"Female",61,"60-64","55-64","Female",30,"nord","Lombardia","italian","high school"
600,"Male",53,"50-54","45-54","Male",24,"south","Sicilia","italian","middle school"
900,"Female",43,"40-44","35-44","Female",40,"south","Calabria","italian","college or more"
2700,"Male",52,"50-54","45-54","Male",40,"nord","Lombardia","italian","high school"
1200,"Female",45,"45-49","45-54","Female",40,"nord","Trentino alto Adige","non-ue","middle school"
1200,"Female",43,"40-44","35-44","Female",22,"south","Campania","italian","college or more"
1600,"Female",44,"40-44","35-44","Female",40,"nord","Trentino alto Adige","italian","high school"
1540,"Male",39,"35-39","35-44","Male",40,"south","Sardegna","italian","college or more"
1650,"Male",61,"60-64","55-64","Male",36,"nord","Lombardia","italian","college or more"
1300,"Male",37,"35-39","35-44","Male",40,"nord","Piemonte","italian","professional high school"
1350,"Male",21,"20-24","15-24","Male",40,"center","Marche","italian","high school"
1100,"Male",53,"50-54","45-54","Male",36,"south","Sardegna","italian","middle school"
1500,"Male",57,"55-59","55-64","Male",38,"nord","Piemonte","italian","high school"
900,"Male",44,"40-44","35-44","Male",40,"south","Sardegna","ue","middle school"
1500,"Female",25,"25-29","25-34","Female",36,"center","Umbria","italian","college or more"
1650,"Female",37,"35-39","35-44","Female",40,"nord","Lombardia","italian","high school"
1050,"Male",63,"60-64","55-64","Male",36,"south","Sicilia","italian","middle school"
1420,"Male",61,"60-64","55-64","Male",40,"nord","Veneto","ue","middle school"
900,"Female",42,"40-44","35-44","Female",40,"south","Puglia","italian","high school"
1610,"Female",42,"40-44","35-44","Female",40,"nord","Emilia Romagna","italian","high school"
800,"Male",40,"40-44","35-44","Male",30,"south","Molise","italian","high school"
1800,"Male",60,"60-64","55-64","Male",40,"nord","Piemonte","italian","high school"
250,"Female",36,"35-39","35-44","Female",5,"center","Marche","italian","high school"
700,"Female",29,"25-29","25-34","Female",24,"nord","Friuli Venezia Giulia","italian","middle school"
1200,"Female",44,"40-44","35-44","Female",36,"nord","Emilia Romagna","italian","college or more"
1300,"Male",47,"45-49","45-54","Male",50,"center","Toscana","italian","high school"
790,"Female",45,"45-49","45-54","Female",40,"nord","Piemonte","italian","middle school"
400,"Female",25,"25-29","25-34","Female",40,"south","Campania","italian","high school"
1400,"Female",48,"45-49","45-54","Female",40,"center","Lazio","italian","college or more"
1360,"Male",51,"50-54","45-54","Male",25,"center","Toscana","italian","high school"
1300,"Female",31,"30-34","25-34","Female",40,"nord","Veneto","italian","professional high school"
1310,"Female",31,"30-34","25-34","Female",40,"nord","Piemonte","ue","college or more"
1900,"Male",66,"65-69","65-74","Male",36,"center","Lazio","italian","high school"
410,"Male",59,"55-59","55-64","Male",30,"nord","Piemonte","non-ue","middle school"
1830,"Male",61,"60-64","55-64","Male",38,"south","Campania","italian","middle school"
1050,"Male",42,"40-44","35-44","Male",45,"nord","Veneto","italian","high school"
1210,"Male",35,"35-39","35-44","Male",40,"nord","Veneto","italian","middle school"
2100,"Male",50,"50-54","45-54","Male",39,"nord","Friuli Venezia Giulia","italian","high school"
1300,"Female",47,"45-49","45-54","Female",35,"nord","Trentino alto Adige","italian","high school"
900,"Male",18,"15-19","15-24","Male",35,"nord","Emilia Romagna","italian","middle school"
1100,"Female",52,"50-54","45-54","Female",40,"south","Puglia","italian","middle school"
700,"Female",41,"40-44","35-44","Female",36,"south","Puglia","ue","high school"
1090,"Female",46,"45-49","45-54","Female",20,"nord","Friuli Venezia Giulia","italian","middle school"
1630,"Female",38,"35-39","35-44","Female",40,"nord","Emilia Romagna","italian","college or more"
1670,"Male",46,"45-49","45-54","Male",40,"center","Umbria","italian","high school"
1840,"Male",53,"50-54","45-54","Male",40,"nord","Friuli Venezia Giulia","italian","high school"
900,"Female",53,"50-54","45-54","Female",36,"nord","Friuli Venezia Giulia","italian","high school"
1320,"Female",43,"40-44","35-44","Female",40,"nord","Lombardia","italian","high school"
1200,"Female",33,"30-34","25-34","Female",45,"nord","Piemonte","italian","professional high school"
1210,"Male",38,"35-39","35-44","Male",40,"south","Sardegna","italian","high school"
800,"Female",22,"20-24","15-24","Female",40,"south","Sicilia","italian","high school"
1200,"Female",31,"30-34","25-34","Female",40,"center","Marche","italian","high school"
1100,"Male",57,"55-59","55-64","Male",40,"south","Basilicata","italian","high school"
700,"Female",54,"50-54","45-54","Female",18,"nord","Lombardia","italian","middle school"
1300,"Male",40,"40-44","35-44","Male",40,"nord","Trentino alto Adige","italian","middle school"
1100,"Male",34,"30-34","25-34","Male",45,"center","Lazio","italian","high school"
1500,"Female",32,"30-34","25-34","Female",40,"center","Marche","italian","high school"
1400,"Male",51,"50-54","45-54","Male",40,"nord","Piemonte","italian","middle school"
1100,"Male",47,"45-49","45-54","Male",40,"center","Toscana","non-ue","college or more"
1400,"Female",58,"55-59","55-64","Female",38,"nord","Lombardia","italian","high school"
1400,"Male",50,"50-54","45-54","Male",48,"south","Puglia","italian","high school"
1000,"Female",21,"20-24","15-24","Female",40,"center","Toscana","italian","high school"
1000,"Female",41,"40-44","35-44","Female",40,"nord","Piemonte","italian","high school"
1200,"Male",38,"35-39","35-44","Male",40,"nord","Emilia Romagna","non-ue","middle school"
1600,"Male",44,"40-44","35-44","Male",40,"nord","Friuli Venezia Giulia","italian","middle school"
1300,"Female",42,"40-44","35-44","Female",50,"nord","Lombardia","italian","high school"
370,"Female",42,"40-44","35-44","Female",30,"center","Toscana","italian","middle school"
850,"Female",25,"25-29","25-34","Female",40,"nord","Trentino alto Adige","italian","college or more"
400,"Male",28,"25-29","25-34","Male",4,"center","Umbria","italian","high school"
1250,"Female",36,"35-39","35-44","Female",48,"center","Toscana","non-ue","professional high school"
730,"Male",57,"55-59","55-64","Male",20,"south","Calabria","italian","elementary school"
1300,"Male",20,"20-24","15-24","Male",40,"nord","Trentino alto Adige","italian","professional high school"
1520,"Male",54,"50-54","45-54","Male",40,"south","Calabria","italian","high school"
1330,"Male",37,"35-39","35-44","Male",40,"nord","Valle d'Aosta","italian","high school"
1600,"Female",44,"40-44","35-44","Female",40,"nord","Piemonte","italian","college or more"
1090,"Male",55,"55-59","55-64","Male",36,"nord","Piemonte","italian","college or more"
1600,"Male",33,"30-34","25-34","Male",40,"south","Campania","italian","college or more"
1400,"Male",55,"55-59","55-64","Male",36,"center","Marche","italian","professional high school"
1470,"Male",33,"30-34","25-34","Male",40,"nord","Friuli Venezia Giulia","non-ue","college or more"
1400,"Male",29,"25-29","25-34","Male",40,"nord","Emilia Romagna","non-ue","middle school"
1040,"Female",32,"30-34","25-34","Female",30,"nord","Veneto","italian","college or more"
1280,"Male",57,"55-59","55-64","Male",40,"nord","Lombardia","italian","professional high school"
1500,"Female",42,"40-44","35-44","Female",40,"nord","Emilia Romagna","italian","high school"
1750,"Male",50,"50-54","45-54","Male",38,"nord","Lombardia","italian","professional high school"
1910,"Male",58,"55-59","55-64","Male",40,"nord","Lombardia","italian","middle school"
3000,"Male",52,"50-54","45-54","Male",40,"nord","Lombardia","italian","high school"
1500,"Female",26,"25-29","25-34","Female",40,"nord","Lombardia","italian","college or more"
1800,"Male",50,"50-54","45-54","Male",40,"south","Basilicata","italian","high school"
1250,"Male",61,"60-64","55-64","Male",40,"center","Marche","italian","high school"
1500,"Male",50,"50-54","45-54","Male",36,"south","Sardegna","italian","high school"
1610,"Female",35,"35-39","35-44","Female",36,"center","Umbria","italian","college or more"
800,"Female",46,"45-49","45-54","Female",24,"south","Campania","italian","middle school"
1400,"Male",55,"55-59","55-64","Male",40,"nord","Trentino alto Adige","italian","elementary school"
3000,"Male",61,"60-64","55-64","Male",50,"nord","Trentino alto Adige","italian","college or more"
550,"Female",36,"35-39","35-44","Female",40,"nord","Friuli Venezia Giulia","italian","high school"
2300,"Male",43,"40-44","35-44","Male",40,"nord","Liguria","italian","high school"
1940,"Male",50,"50-54","45-54","Male",40,"nord","Piemonte","italian","middle school"
1050,"Female",55,"55-59","55-64","Female",36,"nord","Emilia Romagna","italian","high school"
1530,"Male",42,"40-44","35-44","Male",40,"nord","Liguria","italian","college or more"
460,"Female",31,"30-34","25-34","Female",6,"nord","Lombardia","italian","high school"
800,"Male",45,"45-49","45-54","Male",36,"south","Sardegna","italian","middle school"
880,"Female",54,"50-54","45-54","Female",30,"nord","Emilia Romagna","italian","middle school"
1500,"Female",54,"50-54","45-54","Female",24,"center","Toscana","italian","high school"
1130,"Male",44,"40-44","35-44","Male",36,"nord","Veneto","non-ue","middle school"
650,"Male",26,"25-29","25-34","Male",16,"center","Lazio","italian","middle school"
1750,"Male",55,"55-59","55-64","Male",36,"center","Lazio","italian","high school"
1100,"Female",38,"35-39","35-44","Female",16,"center","Lazio","italian","high school"
2460,"Male",62,"60-64","55-64","Male",40,"nord","Emilia Romagna","italian","college or more"
1330,"Male",31,"30-34","25-34","Male",40,"nord","Emilia Romagna","italian","college or more"
2030,"Male",56,"55-59","55-64","Male",40,"south","Puglia","italian","high school"
650,"Female",40,"40-44","35-44","Female",20,"south","Abruzzo","ue","high school"
1400,"Male",39,"35-39","35-44","Male",39,"center","Umbria","italian","high school"
990,"Male",36,"35-39","35-44","Male",33,"south","Sicilia","non-ue","no schooling"
900,"Male",33,"30-34","25-34","Male",30,"south","Campania","non-ue","middle school"
1400,"Male",38,"35-39","35-44","Male",40,"nord","Emilia Romagna","italian","middle school"
1100,"Female",30,"30-34","25-34","Female",40,"south","Abruzzo","italian","high school"
1000,"Male",25,"25-29","25-34","Male",40,"nord","Lombardia","italian","high school"
1200,"Male",34,"30-34","25-34","Male",40,"south","Sicilia","italian","middle school"
1170,"Female",44,"40-44","35-44","Female",36,"south","Sicilia","italian","college or more"
250,"Female",75,"75 e +","75 e +","Female",3,"center","Marche","italian","no schooling"
1000,"Female",40,"40-44","35-44","Female",36,"nord","Emilia Romagna","italian","professional high school"
900,"Female",32,"30-34","25-34","Female",30,"nord","Emilia Romagna","non-ue","high school"
1500,"Female",58,"55-59","55-64","Female",40,"nord","Veneto","italian","high school"
1200,"Male",35,"35-39","35-44","Male",45,"nord","Lombardia","italian","professional high school"
1400,"Female",36,"35-39","35-44","Female",40,"nord","Trentino alto Adige","italian","college or more"
1210,"Female",57,"55-59","55-64","Female",36,"nord","Trentino alto Adige","italian","high school"
1500,"Female",44,"40-44","35-44","Female",40,"south","Abruzzo","italian","college or more"
1120,"Female",54,"50-54","45-54","Female",36,"south","Sicilia","italian","high school"
700,"Female",43,"40-44","35-44","Female",20,"center","Umbria","italian","high school"
300,"Female",23,"20-24","15-24","Female",15,"center","Toscana","italian","high school"
900,"Male",24,"20-24","15-24","Male",45,"nord","Lombardia","italian","professional high school"
2100,"Male",49,"45-49","45-54","Male",40,"nord","Lombardia","italian","middle school"
1700,"Male",53,"50-54","45-54","Male",36,"south","Molise","italian","college or more"
1270,"Male",24,"20-24","15-24","Male",24,"south","Sicilia","italian","high school"
1000,"Male",42,"40-44","35-44","Male",40,"nord","Lombardia","italian","middle school"
1400,"Female",50,"50-54","45-54","Female",36,"center","Toscana","italian","high school"
1300,"Male",39,"35-39","35-44","Male",36,"south","Abruzzo","italian","high school"
1980,"Male",47,"45-49","45-54","Male",40,"center","Toscana","italian","high school"
400,"Female",60,"60-64","55-64","Female",15,"center","Lazio","italian","middle school"
1450,"Female",57,"55-59","55-64","Female",40,"center","Marche","italian","high school"
1250,"Male",66,"65-69","65-74","Male",10,"center","Umbria","italian","middle school"
1320,"Female",60,"60-64","55-64","Female",36,"south","Sardegna","italian","high school"
1700,"Male",54,"50-54","45-54","Male",40,"nord","Veneto","italian","professional high school"
1400,"Female",33,"30-34","25-34","Female",40,"nord","Veneto","italian","high school"
1260,"Male",48,"45-49","45-54","Male",40,"nord","Veneto","italian","middle school"
1600,"Male",36,"35-39","35-44","Male",40,"nord","Piemonte","italian","high school"
1110,"Female",40,"40-44","35-44","Female",20,"center","Lazio","italian","high school"
600,"Male",51,"50-54","45-54","Male",20,"south","Sicilia","italian","high school"
1680,"Female",46,"45-49","45-54","Female",18,"nord","Valle d'Aosta","italian","college or more"
1060,"Female",61,"60-64","55-64","Female",36,"nord","Lombardia","italian","middle school"
1200,"Male",34,"30-34","25-34","Male",40,"nord","Liguria","italian","high school"
3000,"Male",59,"55-59","55-64","Male",40,"nord","Piemonte","italian","college or more"
1400,"Male",34,"30-34","25-34","Male",40,"nord","Veneto","italian","professional high school"
1870,"Male",43,"40-44","35-44","Male",40,"nord","Piemonte","non-ue","high school"
850,"Female",62,"60-64","55-64","Female",24,"nord","Veneto","italian","middle school"
1700,"Male",38,"35-39","35-44","Male",36,"nord","Friuli Venezia Giulia","italian","middle school"
1600,"Female",55,"55-59","55-64","Female",40,"nord","Piemonte","italian","high school"
2600,"Male",52,"50-54","45-54","Male",40,"center","Toscana","italian","middle school"
1600,"Male",50,"50-54","45-54","Male",40,"nord","Veneto","italian","high school"
